todo_raw,min_summary,24_orig,Neverdetected_tarabikin
??,Arousal,NA,T
o,Awaken,Awaken,
p,CDfromPR,ComeDown,
p,CDtoPR,ComeDown,
o,Chew,Chew,
??,Circle,Circle,T
p,ComeDown,ComeDown,
o,Dig,Dig,
p,Drnk(S1),drink,
p,Drnk(S2),drink,T
p,Drnk(S3),drink,T
p,Eat(Z1),eat,
p,Eat(Z2),eat,T
p,Eat(Z3),eat,T
o,Forage,Forage,
o,Groom,Grooming,
p,HangCudl,Hang,
p,HangVert,Hang,T
p,HVfromHC,Hang,
p,HVfromRU,Hang,
p,Jump,Jump,
o,LandVert,land,
o,No Data,no_data,
o,Pause,Pause,
p,RearUp,rear,
p,RemainHC,Hang,
p,RemainHV,Hang,
o,RemainLw,Remain Low,
p,RemainPR,rear,
p,RemainRU,rear,
p,ReptJump,Jump,
p,RUfromPR,rear,
p,RUtoPR,rear,
o,Sleep,Sleep,
o,Sniff,sniff,
o,Stationa,Stationary,
o,Stretch,stretch,
o,Turn,Turn,
o,Twitch,Twitch,
o,Unknown,Unknown,
??,Urinate,Urinate,T
p,WalkLeft,walk,
p,WalkRght,walk,
p,WalkSlow,walk,
