24_orig,Jhuang,Behavior_aocf_ET,Behavior_aocf_MR
Awaken,Micro-move,Active,Awaken
Chew,Eat,CONSUME,Chew
ComeDown,Rear,Active,ComeDown
Dig,Unknown_behavior,Active,digforage
drink,Drink,CONSUME,Drink
eat,Eat,CONSUME,Eat
Forage,Unknown_behavior,Active,digforage
Grooming,Groom,Groom,Groom
Hang,Hang,Hang,hang
Jump,Unknown_behavior,Active,jump
land,Rear,unassigned,hang
no_data,No_Data,unassigned,unassigned
rear,Rear,Rear,rearup
Sleep,Rest,Sleep,immobile
sniff,Micro-move,Active,Sniffing
stretch,Rear,unassigned,Stretch
Turn,Walk,Active,walk
Twitch,Micro-move,unassigned,Twitch
Unknown,Unknown_behavior,unassigned,unassigned
walk,Walk,Active,walk
Remain Low,Micro-move,Inactive,RemainLow
Stationary,Rest,Inactive,immobile
Pause,Micro-move,Inactive,immobile
Urinate,Unknown_behavior,unassigned,Urinate
NA,Unknown_behavior,unassigned,Arousal
