HCS category,24_orig,category1,category2,category3,MIT HCS
Awaken,Awaken,RLB (rest)           , sleep,NA,*stop sleep
Chew,Chew,ILB (ingest) ,normal activity, FOOD,-
Circle,walk,ALB (activity),High activity,horizontal,walk
Come Down,ComeDown,ALB (activity),High activity,  vertical,rear
Come Down From Partially Reared,ComeDown,ALB (activity),High activity,  vertical,rear
Come Down To Partially Reared,ComeDown,ALB (activity),High activity,  vertical,rear
Dig,Dig,ELB (explore) ,normal activity,FOOD,-
Drink Spout1,drink,ILB (ingest) , normal activity,NA,drink
Drink Spout2,drink,ILB (ingest) , normal activity,NA,drink
Drink Spout3,drink,ILB (ingest) , normal activity,NA,drink
Eat Zone1,eat,LB (ingest) , normal activity, FOOD,eat
Eat Zone2,eat,LB (ingest) , normal activity, FOOD,eat
Eat Zone3,eat,LB (ingest) , normal activity, FOOD,eat
Forage,Forage,ALB (activity),High activity,horizontal,walk
Groom,Grooming, ELB (explore), normal activity,NA,groom
Hang Cuddled,Hang,ALB (activity),High activity, vertical,hang
Hang Vertically,Hang,ALB (activity),High activity, vertical,hang
Hang Vertically From HangCuddled,Hang,ALB (activity),High activity, vertical,hang
Hang Vertically From Rear Up,Hang,ALB (activity),High activity, vertical,hang
Jump,Jump, ALB (activity),High activity,NA,walk
Land Vertically,land,ALB (activity),High activity,vertical,-
No Data,no_data,Unknown Behavior,,NA,no data
Pause,Pause,RLB (rest),rest,NA,*rest>3s
Rear Up,rear, ELB (explore), High activity,vertical,rear
Rear up From Partially Reared,rear, ELB (explore), High activity,vertical,rear
Rear up To Partially Reared,rear, ELB (explore), High activity,vertical,rear
Remain Hang Cuddled,Hang,ALB (activity),High activity, vertical,hang
Remain Hang Vertically,Hang,ALB (activity),High activity, vertical,hang
Remain Low,Remain Low,RLB (rest),rest,NA,rest
Remain Partially Reared,rear, ELB (explore), High activity,vertical,rear
Remain RearUp,rear, ELB (explore), High activity,vertical,rear
Repetitive Jumping,Jump, ALB (activity),High activity,NA,-
Sleep,Sleep,RLB (rest),rest,NA,* rest>30s
Sniff,Sniff,ELB (explore),normal activity,NA,-
Stationary,Stationary,RLB (rest),rest,NA,?rest
Stretch Body,stretch,ELB (explore),normal activity,NA,-
Turn,Turn,ALB (activity),High activity,horizontal,walk
Twitch,Twitch,RLB (rest),rest,NA,*mvt of one type between 2 rest period >3s
Unknown Behavior,Unknown,Unknown Behavior,normal activity,NA,-
Urinate,Urinate,Unknown Behavior,normal activity,NA,-
Walk Left,walk,ALB (activity),High activity,horizontal,walk
Walk Right,walk,ALB (activity),High activity,horizontal,walk
Walk Slowly,walk,ALB (activity),High activity,horizontal,walk
